�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2017-12-29,'600660,腦珓產薛,29.0,29.39,28.8,28.97,28.68,0.32,1.1158,0.5355,10726225,312297932.0,72749908428.0,58086603628.0
2017-12-28,'600660,腦珓產薛,28.68,29.0,28.23,28.44,28.47,0.21,0.7376,0.5114,10242701,293367442.0,71947150817.8,57445648001.8
2017-12-27,'600660,腦珓產薛,28.47,29.15,28.2,29.0,29.15,-0.68,-2.3328,0.5728,11473640,329286169.0,71420341136.0,57025020872.0
2017-12-26,'600660,腦珓產薛,29.15,29.15,28.65,28.85,28.83,0.32,1.11,0.5808,11633699,336424404.0,73126201057.8,58387051577.8
2017-12-25,'600660,腦珓產薛,28.83,28.87,28.33,28.58,28.59,0.24,0.8395,0.4443,8898605,255142919.0,72323443447.6,57746095951.6
2017-12-22,'600660,腦珓產薛,28.59,28.98,28.32,28.43,28.43,0.16,0.5628,0.4928,9870586,283055891.0,71721375239.9,57265379231.9
2017-12-21,'600660,腦珓產薛,28.43,28.63,27.78,27.88,27.88,0.55,1.9727,0.6737,13494617,382224987.0,71319996434.8,56944901418.8
2017-12-20,'600660,腦珓產薛,27.88,27.99,27.72,27.87,27.9,-0.02,-0.0717,0.3565,7141338,199052283.0,69940256792.2,55843258936.2
2017-12-19,'600660,腦珓產薛,27.9,27.96,27.51,27.66,27.65,0.25,0.9042,0.3474,6957800,193312945.0,69990429142.8,55883318662.8
2017-12-18,'600660,腦珓產薛,27.65,27.79,27.28,27.51,27.52,0.13,0.4724,0.3808,7626925,209954683.0,69363274759.8,55382572079.8
2017-12-15,'600660,腦珓產薛,27.52,27.95,27.48,27.81,28.05,-0.53,-1.8895,0.2962,5933478,164034648.0,69037154480.6,55122183856.6
2017-12-14,'600660,腦珓產薛,28.05,28.25,27.8,28.22,28.22,-0.17,-0.6024,0.3661,7332457,204879513.0,70366721772.6,56183766612.6
2017-12-13,'600660,腦珓產薛,28.22,28.24,27.47,27.47,27.47,0.75,2.7303,0.6425,12868848,359629480.0,70793186753.0,56524274289.0
2017-12-12,'600660,腦珓產薛,27.47,27.72,27.42,27.45,27.42,0.05,0.1823,0.3836,7682486,211592796.0,68911723604.0,55022034540.0
2017-12-11,'600660,腦珓產薛,27.42,27.58,26.82,27.08,27.08,0.34,1.2555,0.4527,9068438,247847502.0,68786292727.4,54921885223.4
2017-12-08,'600660,腦珓產薛,27.08,27.2,26.52,26.79,26.85,0.23,0.8566,0.4984,9983414,268687394.0,67933362766.6,54240869870.6
2017-12-07,'600660,腦珓產薛,26.85,27.16,26.64,26.69,26.63,0.22,0.8261,0.4848,9709664,261552715.0,67356380734.2,53780183014.2
2017-12-06,'600660,腦珓產薛,26.63,26.86,26.31,26.7,26.79,-0.16,-0.5972,0.3464,6939129,184562994.0,66804484877.2,53339526021.2
2017-12-05,'600660,腦珓產薛,26.79,26.98,26.51,26.85,26.83,-0.04,-0.1491,0.3514,7038010,188088708.0,67205863682.3,53660003834.3
2017-12-04,'600660,腦珓產薛,26.83,27.73,26.59,27.5,26.49,0.34,1.2835,0.6649,13317820,360212994.0,67306208383.6,53740123287.6
2017-12-01,'600660,腦珓產薛,26.49,26.59,25.8,26.26,26.33,0.16,0.6077,0.4156,8323965,218906903.0,66453278422.7,53059107934.7
2017-11-30,'600660,腦珓產薛,26.33,27.04,26.31,27.04,27.04,-0.71,-2.6257,0.43,8612079,229208647.0,66051899617.6,52738630121.6
2017-11-29,'600660,腦珓產薛,27.04,27.42,26.76,27.14,26.96,0.08,0.2967,0.4634,9281479,251372727.0,67833018065.3,54160750417.3
2017-11-28,'600660,腦珓產薛,26.96,27.11,26.6,26.64,26.86,0.1,0.3723,0.4426,8864616,238302569.0,67632328662.7,54000511510.7
2017-11-27,'600660,腦珓產薛,26.86,27.36,26.62,27.13,27.26,-0.4,-1.4674,0.53,10615472,286175474.0,67381466909.5,53800212877.5
2017-11-24,'600660,腦珓產薛,27.26,27.57,26.51,27.55,27.67,-0.41,-1.4817,1.0664,21359603,576471499.0,68384913922.3,54601407410.3
2017-11-23,'600660,腦珓產薛,27.67,28.88,27.6,28.85,28.86,-1.19,-4.1234,0.9704,19437145,546835156.0,69413447110.4,55422631806.4
2017-11-22,'600660,腦珓產薛,28.86,29.42,28.51,29.38,29.28,-0.42,-1.4344,0.8638,17302668,501140336.0,72398701973.5,57806185541.5
2017-11-21,'600660,腦珓產薛,29.28,29.66,28.3,28.3,28.37,0.91,3.2076,1.0935,21902402,639009635.0,73452321337.0,58647439801.0
2017-11-20,'600660,腦珓產薛,28.37,28.56,27.67,28.56,28.66,-0.29,-1.0119,0.7697,15417570,433433770.0,71169479382.8,56824722238.8
2017-11-17,'600660,腦珓產薛,28.66,29.11,28.3,28.6,28.55,0.11,0.3853,1.0856,21744244,623923440.0,71896978467.1,57405588275.1
2017-11-16,'600660,腦珓產薛,28.55,28.7,28.1,28.66,28.65,-0.1,-0.349,0.6441,12901548,365711781.0,71621030538.6,57185259778.6
2017-11-15,'600660,腦珓產薛,28.65,29.58,28.44,28.81,28.83,-0.18,-0.6243,0.7281,14583861,422250720.0,71871892291.8,57385558411.8
2017-11-14,'600660,腦珓產薛,28.83,29.6,28.45,28.8,28.75,0.08,0.2783,0.841,16845161,487086504.0,72323443447.6,57746095951.6
2017-11-13,'600660,腦珓產薛,28.75,28.9,28.26,28.26,28.05,0.7,2.4955,0.8967,17961354,513552701.0,72122754045.0,57585857045.0
2017-11-10,'600660,腦珓產薛,28.05,28.1,27.45,27.6,27.59,0.46,1.6673,0.9094,18214970,506881537.0,70366721772.6,56183766612.6
2017-11-09,'600660,腦珓產薛,27.59,27.65,26.77,26.79,26.97,0.62,2.2989,0.5635,11287002,307477492.0,69212757707.9,55262392899.9
2017-11-08,'600660,腦珓產薛,26.97,28.0,26.9,27.5,27.58,-0.61,-2.2117,0.7217,14456087,396371745.0,67657414838.0,54020541374.0
2017-11-07,'600660,腦珓產薛,27.58,27.97,27.43,27.68,27.8,-0.22,-0.7914,0.6895,13810859,381339176.0,69187671532.6,55242363036.6
2017-11-06,'600660,腦珓產薛,27.8,27.84,27.17,27.17,27.09,0.71,2.6209,0.7054,14128490,389285920.0,69739567389.6,55683020029.6
2017-11-03,'600660,腦珓產薛,27.09,27.46,26.83,26.83,26.89,0.2,0.7438,0.4439,8890420,241397246.0,67958448941.9,54260899733.9
2017-11-02,'600660,腦珓產薛,26.89,27.18,26.51,27.06,26.99,-0.1,-0.3705,0.4334,8681091,232663539.0,67456725435.5,53860302467.5
2017-11-01,'600660,腦珓產薛,26.99,27.69,26.85,27.13,27.12,-0.13,-0.4794,0.5535,11085719,301994437.0,67707587188.7,54060601100.7
2017-10-31,'600660,腦珓產薛,27.12,27.46,26.82,27.45,27.45,-0.33,-1.2022,0.5303,10622104,287280417.0,68033707467.8,54320989323.8
2017-10-30,'600660,腦珓產薛,27.45,27.89,27.2,27.53,27.51,-0.06,-0.2181,0.6413,12845025,353312690.0,68861551253.4,54981974813.4
2017-10-27,'600660,腦珓產薛,27.51,27.55,27.08,27.51,27.51,0.0,0.0,0.4715,9443327,258289741.0,69012068305.3,55102153993.3
2017-10-26,'600660,腦珓產薛,27.51,27.72,26.21,26.38,26.55,0.96,3.6158,1.0924,21880092,598441856.0,69012068305.3,55102153993.3
2017-10-25,'600660,腦珓產薛,26.55,26.81,26.19,26.5,26.22,0.33,1.2586,0.6637,13293051,353456505.0,66603795474.6,53179287114.6
