日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-29,'600766,园城黄金,9.19,9.29,8.9,9.12,9.12,0.07,0.7675,1.3575,3039937,27646295.0,2060644494.18,2057935741.68
2017-12-28,'600766,园城黄金,9.12,9.24,8.91,9.05,9.03,0.09,0.9967,0.8533,1910733,17402269.0,2044948616.64,2042260496.64
2017-12-27,'600766,园城黄金,9.03,9.13,8.94,9.04,9.01,0.02,0.222,0.514,1151011,10384795.0,2024768202.66,2022106610.16
2017-12-26,'600766,园城黄金,9.01,9.05,8.88,8.98,8.99,0.02,0.2225,0.4976,1114383,9980653.0,2020283666.22,2017627968.72
2017-12-25,'600766,园城黄金,8.99,9.06,8.93,8.94,8.92,0.07,0.7848,0.6837,1531002,13770430.0,2015799129.78,2013149327.28
2017-12-22,'600766,园城黄金,8.92,8.94,8.84,8.86,8.91,0.01,0.1122,0.4293,961400,8550987.0,2000103252.24,1997474082.24
2017-12-21,'600766,园城黄金,8.91,9.07,8.8,9.04,9.03,-0.12,-1.3289,0.7718,1728300,15381246.0,1997860984.02,1995234761.52
2017-12-20,'600766,园城黄金,9.03,9.35,8.95,9.29,9.33,-0.3,-3.2154,0.9668,2165062,19796975.0,2024768202.66,2022106610.16
2017-12-19,'600766,园城黄金,9.33,9.44,9.25,9.39,9.38,-0.05,-0.533,0.8535,1911340,17825365.0,2092036249.26,2089286231.76
2017-12-18,'600766,园城黄金,9.38,9.56,9.21,9.35,9.37,0.01,0.1067,1.4312,3204901,30114474.0,2103247590.36,2100482835.36
2017-12-15,'600766,园城黄金,9.37,9.41,9.1,9.22,9.29,0.08,0.8611,1.2068,2702322,25090141.0,2101005322.14,2098243514.64
2017-12-14,'600766,园城黄金,9.29,9.5,9.15,9.19,9.15,0.14,1.5301,1.3967,3127554,29103161.0,2083067176.38,2080328948.88
2017-12-13,'600766,园城黄金,9.15,9.15,9.01,9.04,9.08,0.07,0.7709,0.2796,626039,5686124.0,2051675421.3,2048978458.8
2017-12-12,'600766,园城黄金,9.08,9.2,9.07,9.17,9.2,-0.12,-1.3043,0.3761,842100,7689091.0,2035979543.76,2033303213.76
2017-12-11,'600766,园城黄金,9.2,9.27,9.14,9.26,9.27,-0.07,-0.7551,0.7191,1610402,14783395.0,2062886762.4,2060175062.4
2017-12-08,'600766,园城黄金,9.27,9.31,9.14,9.22,9.31,-0.04,-0.4296,0.5425,1214755,11229099.0,2078582639.94,2075850307.44
2017-12-07,'600766,园城黄金,9.31,9.37,9.0,9.13,9.14,0.17,1.86,1.0749,2407055,22285415.0,2087551712.82,2084807590.32
2017-12-06,'600766,园城黄金,9.14,9.24,8.6,9.05,9.07,0.07,0.7718,0.7576,1696600,15261287.0,2049433153.08,2046739138.08
2017-12-05,'600766,园城黄金,9.07,9.15,8.94,9.15,9.11,-0.04,-0.4391,0.7272,1628526,14733979.0,2033737275.54,2031063893.04
2017-12-04,'600766,园城黄金,9.11,9.12,8.9,9.06,9.06,0.05,0.5519,1.1317,2534305,22835716.0,2042706348.42,2040021175.92
2017-12-01,'600766,园城黄金,9.06,9.1,8.94,9.01,9.05,0.01,0.1105,0.643,1439801,12985518.0,2031495007.32,2028824572.32
2017-11-30,'600766,园城黄金,9.05,9.08,8.9,9.06,9.08,-0.03,-0.3304,1.1762,2633901,23646333.0,2029252739.1,2026585251.6
2017-11-29,'600766,园城黄金,9.08,9.1,8.99,9.05,9.1,-0.02,-0.2198,0.8349,1869600,16898319.0,2035979543.76,2033303213.76
2017-11-28,'600766,园城黄金,9.1,9.12,8.9,9.07,9.06,0.04,0.4415,0.92,2060090,18579955.0,2040464080.2,2037781855.2
2017-11-27,'600766,园城黄金,9.06,9.25,9.02,9.21,9.19,-0.13,-1.4146,0.5528,1237872,11259472.0,2031495007.32,2028824572.32
2017-11-24,'600766,园城黄金,9.19,9.27,9.1,9.16,9.21,-0.02,-0.2172,0.6292,1409050,12970690.0,2060644494.18,2057935741.68
2017-11-23,'600766,园城黄金,9.21,9.36,9.14,9.2,9.27,-0.06,-0.6472,0.9706,2173395,20118304.0,2065129030.62,2062414383.12
2017-11-22,'600766,园城黄金,9.27,9.4,9.21,9.24,9.23,0.04,0.4334,1.0139,2270412,21099675.0,2078582639.94,2075850307.44
2017-11-21,'600766,园城黄金,9.23,9.58,9.15,9.44,9.51,-0.28,-2.9443,1.315,2944730,27390849.0,2069613567.06,2066893024.56
