»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2017-12-29,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-28,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-27,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-26,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-25,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-22,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-21,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-20,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-19,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-18,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-15,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-14,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-13,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-12,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
2017-12-11,'600877,*STºŒ¡Í,0.0,0.0,0.0,0.0,6.43,None,None,0.0,0,0.0,4419223517.2,4419223517.2
