хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2017-12-29,'601566,╬едамУ,14.2,14.34,14.16,14.31,14.23,-0.03,-0.2108,0.2866,1646979,23407917.0,8159847530.0,8159847530.0
2017-12-28,'601566,╬едамУ,14.23,14.38,14.13,14.13,14.17,0.06,0.4234,0.2246,1290670,18436734.0,8177086644.5,8177086644.5
2017-12-27,'601566,╬едамУ,14.17,14.36,14.13,14.35,14.35,-0.18,-1.2544,0.2254,1294979,18448245.0,8142608415.5,8142608415.5
2017-12-26,'601566,╬едамУ,14.35,14.38,14.27,14.32,14.32,0.03,0.2095,0.2133,1225570,17551876.0,8246043102.5,8246043102.5
2017-12-25,'601566,╬едамУ,14.32,14.62,14.28,14.62,14.61,-0.29,-1.9849,0.2595,1490968,21503618.0,8228803988.0,8228803988.0
2017-12-22,'601566,╬едамУ,14.61,14.69,14.56,14.63,14.68,-0.07,-0.4768,0.173,994274,14518171.0,8395448761.5,8395448761.5
2017-12-21,'601566,╬едамУ,14.68,14.74,14.27,14.44,14.47,0.21,1.4513,0.5984,3438504,49993923.0,8435673362.0,8435673362.0
2017-12-20,'601566,╬едамУ,14.47,14.57,14.42,14.52,14.58,-0.11,-0.7545,0.3204,1841400,26670985.0,8314999560.5,8314999560.5
2017-12-19,'601566,╬едамУ,14.58,14.63,14.36,14.36,14.41,0.17,1.1797,0.363,2085706,30320328.0,8378209647.0,8378209647.0
2017-12-18,'601566,╬едамУ,14.41,14.47,14.21,14.34,14.35,0.06,0.4181,0.3347,1923347,27628464.0,8280521331.5,8280521331.5
2017-12-15,'601566,╬едамУ,14.35,14.38,14.19,14.28,14.26,0.09,0.6311,0.2249,1292085,18454707.0,8246043102.5,8246043102.5
2017-12-14,'601566,╬едамУ,14.26,14.29,14.19,14.26,14.25,0.01,0.0702,0.1551,891103,12700322.0,8194325759.0,8194325759.0
