ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2017-12-29,'603027,วงบฬฮถาต,17.99,18.24,17.87,18.05,17.9,0.09,0.5028,1.2261,1633000,29371434.0,5864473748.0,2396092993.28
2017-12-28,'603027,วงบฬฮถาต,17.9,18.05,17.72,17.88,17.97,-0.07,-0.3895,1.1573,1541400,27630411.0,5835135080.0,2384105868.8
2017-12-27,'603027,วงบฬฮถาต,17.97,18.27,17.88,18.04,17.96,0.01,0.0557,1.5741,2096500,37857274.0,5857954044.0,2393429187.84
2017-12-26,'603027,วงบฬฮถาต,17.96,18.74,17.7,18.69,18.69,-0.73,-3.9058,4.2352,5640901,101572496.0,5854694192.0,2392097285.12
2017-12-25,'603027,วงบฬฮถาต,18.69,19.44,18.5,19.16,19.15,-0.46,-2.4021,1.6305,2171662,41144777.0,6092663388.0,2489326183.68
2017-12-22,'603027,วงบฬฮถาต,19.15,19.55,19.13,19.4,19.31,-0.16,-0.8286,1.8267,2432964,47060515.0,6242616580.0,2550593708.8
2017-12-21,'603027,วงบฬฮถาต,19.31,19.69,19.21,19.66,19.64,-0.33,-1.6802,1.3601,1811500,35110416.0,6294774212.0,2571904152.32
2017-12-20,'603027,วงบฬฮถาต,19.64,19.83,19.33,19.67,19.72,-0.08,-0.4057,1.3545,1804000,35330398.0,6402349328.0,2615856942.08
2017-12-19,'603027,วงบฬฮถาต,19.72,20.05,19.51,19.7,19.73,-0.01,-0.0507,0.8638,1150529,22720268.0,6428428144.0,2626512163.84
2017-12-18,'603027,วงบฬฮถาต,19.73,19.82,18.83,19.16,19.14,0.59,3.0825,2.2442,2989055,57953711.0,6431687996.0,2627844066.56
2017-12-15,'603027,วงบฬฮถาต,19.14,19.46,19.05,19.28,19.47,-0.33,-1.6949,0.9239,1230521,23600810.0,6239356728.0,2549261806.08
2017-12-14,'603027,วงบฬฮถาต,19.47,19.86,19.28,19.81,19.86,-0.39,-1.9637,1.2755,1698900,33103191.0,6230400000.0,2593214595.84
2017-12-13,'603027,วงบฬฮถาต,19.86,20.09,19.68,19.8,19.73,0.13,0.6589,0.76,1012200,20102890.0,6355200000.0,2645158801.92
2017-12-12,'603027,วงบฬฮถาต,19.73,20.37,19.7,20.29,20.29,-0.56,-2.76,1.389,1850000,36946105.0,6313600000.0,2627844066.56
2017-12-11,'603027,วงบฬฮถาต,20.29,20.83,19.04,19.04,19.04,1.25,6.5651,3.2517,4330983,86460723.0,6492800000.0,2702430618.88
2017-12-08,'603027,วงบฬฮถาต,19.04,19.2,18.5,18.69,18.58,0.46,2.4758,1.1629,1548904,29397207.0,6092800000.0,2535942778.88
2017-12-07,'603027,วงบฬฮถาต,18.58,18.6,18.38,18.55,18.54,0.04,0.2157,0.4152,553048,10232923.0,5945600000.0,2474675253.76
2017-12-06,'603027,วงบฬฮถาต,18.54,18.9,18.2,18.58,18.64,-0.1,-0.5365,0.6138,817500,15158666.0,5932800000.0,2469347642.88
2017-12-05,'603027,วงบฬฮถาต,18.64,18.87,18.4,18.55,18.56,0.08,0.431,1.2632,1682500,31314539.0,5964800000.0,2482666670.08
2017-12-04,'603027,วงบฬฮถาต,18.56,18.76,18.4,18.7,18.65,-0.09,-0.4826,0.8651,1152248,21402936.0,5939200000.0,2472011448.32
2017-12-01,'603027,วงบฬฮถาต,18.65,18.79,18.04,18.2,18.27,0.38,2.0799,1.0079,1342429,24873123.0,5968000000.0,2483998572.8
2017-11-30,'603027,วงบฬฮถาต,18.27,18.68,18.22,18.44,18.6,-0.33,-1.7742,1.2297,1637900,30261898.0,5846400000.0,2433386269.44
2017-11-29,'603027,วงบฬฮถาต,18.6,18.66,17.61,18.26,18.25,0.35,1.9178,2.6845,3575450,64803897.0,5952000000.0,2477339059.2
2017-11-28,'603027,วงบฬฮถาต,18.25,18.44,17.5,17.96,18.93,-0.68,-3.5922,3.0753,4095970,74240613.0,5840000000.0,2430722464.0
2017-11-27,'603027,วงบฬฮถาต,18.93,19.3,18.88,19.2,19.27,-0.34,-1.7644,0.9672,1288216,24625580.0,6057600000.0,2521291848.96
2017-11-24,'603027,วงบฬฮถาต,19.27,19.54,18.81,19.3,19.31,-0.04,-0.2071,1.4685,1955871,37461220.0,6166400000.0,2566576541.44
2017-11-23,'603027,วงบฬฮถาต,19.31,20.67,19.02,20.48,20.48,-1.17,-5.7129,4.2899,5713778,112360473.0,6179200000.0,2571904152.32
2017-11-22,'603027,วงบฬฮถาต,20.48,21.05,20.32,21.04,21.05,-0.57,-2.7078,2.5001,3329904,68526836.0,6553600000.0,2727736770.56
2017-11-21,'603027,วงบฬฮถาต,21.05,21.41,20.53,20.53,20.73,0.32,1.5437,1.8992,2529589,53293611.0,6736000000.0,2803655225.6
2017-11-20,'603027,วงบฬฮถาต,20.73,20.99,18.46,20.41,20.51,0.22,1.0726,1.773,2361498,47770721.0,6633600000.0,2761034338.56
2017-11-17,'603027,วงบฬฮถาต,20.51,21.47,20.47,21.01,21.09,-0.58,-2.7501,2.2377,2980436,62806573.0,6563200000.0,2731732478.72
2017-11-16,'603027,วงบฬฮถาต,21.09,21.28,20.81,21.05,21.06,0.03,0.1425,1.1922,1587902,33568367.0,6748800000.0,2808982836.48
2017-11-15,'603027,วงบฬฮถาต,21.06,21.22,20.6,20.9,20.99,0.07,0.3335,1.8283,2435101,50938308.0,6739200000.0,2804987128.32
2017-11-14,'603027,วงบฬฮถาต,20.99,21.6,20.91,21.53,21.52,-0.53,-2.4628,2.1294,2836102,60072015.0,6716800000.0,2795663809.28
2017-11-13,'603027,วงบฬฮถาต,21.52,21.92,21.31,21.72,21.99,-0.47,-2.1373,3.3634,4479672,96481281.0,6886400000.0,2866254653.44
2017-11-10,'603027,วงบฬฮถาต,21.99,22.08,21.62,21.79,21.79,0.2,0.9179,2.0578,2740757,59987485.0,7036800000.0,2928854081.28
2017-11-09,'603027,วงบฬฮถาต,21.79,22.18,21.63,21.7,21.87,-0.08,-0.3658,1.6693,2223294,48497646.0,6972800000.0,2902216026.88
2017-11-08,'603027,วงบฬฮถาต,21.87,22.4,21.82,22.4,22.43,-0.56,-2.4967,2.6876,3579600,78979499.0,6998400000.0,2912871248.64
2017-11-07,'603027,วงบฬฮถาต,22.43,22.79,22.25,22.29,22.37,0.06,0.2682,3.1979,4259283,96002741.0,7177600000.0,2987457800.96
2017-11-06,'603027,วงบฬฮถาต,22.37,22.5,21.32,21.75,21.51,0.86,3.9981,3.2498,4328384,94601456.0,7158400000.0,2979466384.64
2017-11-03,'603027,วงบฬฮถาต,21.51,21.88,21.31,21.35,21.4,0.11,0.514,2.401,3197865,69172138.0,6883200000.0,2864922750.72
2017-11-02,'603027,วงบฬฮถาต,21.4,21.85,21.34,21.5,21.54,-0.14,-0.65,2.2207,2957794,63753442.0,6848000000.0,2850271820.8
2017-11-01,'603027,วงบฬฮถาต,21.54,21.75,20.56,20.6,20.69,0.85,4.1083,4.016,5348881,114587566.0,6892800000.0,2868918458.88
2017-10-31,'603027,วงบฬฮถาต,20.69,20.84,20.3,20.5,20.44,0.25,1.2231,2.0205,2691052,55155811.0,6620800000.0,2755706727.68
2017-10-30,'603027,วงบฬฮถาต,20.44,21.32,20.03,21.3,21.3,-0.86,-4.0376,4.1464,5522625,113808068.0,6540800000.0,2722409159.68
2017-10-27,'603027,วงบฬฮถาต,21.3,21.45,21.05,21.43,21.59,-0.29,-1.3432,4.2191,5619488,119271182.0,6816000000.0,2836952793.6
2017-10-26,'603027,วงบฬฮถาต,21.59,21.74,20.91,21.74,22.49,-0.9,-4.0018,7.3903,9843219,210850100.0,6908800000.0,2875577972.48
2017-10-25,'603027,วงบฬฮถาต,22.49,23.15,21.82,21.94,21.88,0.61,2.7879,5.2621,7008613,157907592.0,7196800000.0,2995449217.28
2017-10-24,'603027,วงบฬฮถาต,21.88,21.95,21.16,21.7,21.64,0.24,1.1091,2.2229,2960630,64011111.0,7001600000.0,2914203151.36
2017-10-23,'603027,วงบฬฮถาต,21.64,22.64,21.43,22.4,22.4,-0.76,-3.3929,4.1718,5556388,121664347.0,6924800000.0,2882237486.08
2017-10-20,'603027,วงบฬฮถาต,22.4,22.43,21.58,21.61,21.63,0.77,3.5599,2.0152,2684110,59128361.0,7168000000.0,2983462092.8
2017-10-19,'603027,วงบฬฮถาต,21.63,22.8,21.61,22.3,22.41,-0.78,-3.4806,2.9631,3946588,87762536.0,6921600000.0,2880905583.36
2017-10-18,'603027,วงบฬฮถาต,22.41,22.99,22.2,22.88,22.88,-0.47,-2.0542,1.8223,2427076,54794714.0,7171200000.0,2984793995.52
2017-10-17,'603027,วงบฬฮถาต,22.88,23.2,22.5,22.75,23.09,-0.21,-0.9095,2.0688,2755447,62963071.0,7321600000.0,3047393423.36
2017-10-16,'603027,วงบฬฮถาต,23.09,23.85,22.65,23.76,23.75,-0.66,-2.7789,2.8974,3859027,89406476.0,7388800000.0,3075363380.48
2017-10-13,'603027,วงบฬฮถาต,23.75,24.01,23.36,23.63,23.64,0.11,0.4653,2.393,3187300,75697014.0,7600000000.0,3163268960.0
2017-10-12,'603027,วงบฬฮถาต,23.64,23.76,22.96,23.15,23.25,0.39,1.6774,2.7944,3721854,87090169.0,7564800000.0,3148618030.08
2017-10-11,'603027,วงบฬฮถาต,23.25,23.46,22.46,22.75,22.76,0.49,2.1529,3.6573,4871200,112544765.0,7440000000.0,3096673824.0
2017-10-10,'603027,วงบฬฮถาต,22.76,22.9,22.36,22.89,22.87,-0.11,-0.481,2.1413,2851983,64403380.0,7283200000.0,3031410590.72
2017-10-09,'603027,วงบฬฮถาต,22.87,23.5,22.76,23.5,23.22,-0.35,-1.5073,2.8714,3824366,87942691.0,7318400000.0,3046061520.64
2017-09-29,'603027,วงบฬฮถาต,23.22,23.56,22.73,22.73,22.72,0.5,2.2007,2.7174,3619246,83823217.0,7430400000.0,3092678115.84
2017-09-28,'603027,วงบฬฮถาต,22.72,23.16,22.5,22.6,22.81,-0.09,-0.3946,2.1591,2875721,65446883.0,7270400000.0,3026082979.84
2017-09-27,'603027,วงบฬฮถาต,22.81,23.29,22.5,22.54,22.85,-0.04,-0.1751,3.0532,4066624,92807764.0,7299200000.0,3038070104.32
2017-09-26,'603027,วงบฬฮถาต,22.85,22.98,21.76,21.99,21.94,0.91,4.1477,4.9543,6598670,148686489.0,7312000000.0,3043397715.2
2017-09-25,'603027,วงบฬฮถาต,21.94,22.15,21.02,21.02,21.12,0.82,3.8826,4.2512,5662121,123647779.0,7020800000.0,2922194567.68
2017-09-22,'603027,วงบฬฮถาต,21.12,21.65,21.05,21.4,21.58,-0.46,-2.1316,2.1211,2825111,60069038.0,6758400000.0,2812978544.64
2017-09-21,'603027,วงบฬฮถาต,21.58,21.86,20.7,20.77,20.99,0.59,2.8109,3.609,4806776,103400260.0,6905600000.0,2874246069.76
