»’∆Џ,є…∆±іъ¬л,√ы≥∆, ’≈ћЉџ,„оЄяЉџ,„оµЌЉџ,њ™≈ћЉџ,«∞ ’≈ћ,’«µшґо,’«µшЈщ,її ÷¬ ,≥…љїЅњ,≥…љїљрґо,„№ –÷µ,ЅчЌ® –÷µ
2017-12-29,'603993,¬е—фов“µ,6.88,7.02,6.84,6.96,7.01,-0.13,-1.8545,1.0757,139344627,961132075.0,1.48602775211e+11,89121667209.1
2017-12-28,'603993,¬е—фов“µ,7.01,7.08,6.5,6.55,6.56,0.45,6.8598,2.3749,307633631,2099040840.0,1.51410676487e+11,90805652200.0
2017-12-27,'603993,¬е—фов“µ,6.56,6.67,6.38,6.41,6.42,0.14,2.1807,1.1453,148361692,974931524.0,1.41691018224e+11,84976473385.4
2017-12-26,'603993,¬е—фов“µ,6.42,6.43,6.21,6.39,6.44,-0.02,-0.3106,0.6,77718278,491955020.0,1.38667124543e+11,83162951087.6
2017-12-25,'603993,¬е—фов“µ,6.44,6.52,6.38,6.49,6.44,0.0,0.0,0.5654,73240727,472274445.0,1.39099109355e+11,83422025701.6
2017-12-22,'603993,¬е—фов“µ,6.44,6.59,6.4,6.48,6.5,-0.06,-0.9231,0.7245,93856104,608335251.0,1.39099109355e+11,83422025701.6
2017-12-21,'603993,¬е—фов“µ,6.5,6.56,6.38,6.4,6.4,0.1,1.5625,0.7515,97352891,631895908.0,1.4039506379e+11,84199249543.5
2017-12-20,'603993,¬е—фов“µ,6.4,6.62,6.38,6.56,6.57,-0.17,-2.5875,0.7381,95613405,618867902.0,1.38235139731e+11,82903876473.6
2017-12-19,'603993,¬е—фов“µ,6.57,6.68,6.49,6.6,6.59,-0.02,-0.3035,0.5545,71833638,472368156.0,1.4190701063e+11,85106010692.4
2017-12-18,'603993,¬е—фов“µ,6.59,6.73,6.48,6.63,6.63,-0.04,-0.6033,0.6647,86107111,567436968.0,1.42338995442e+11,85365085306.4
2017-12-15,'603993,¬е—фов“µ,6.63,6.88,6.56,6.78,6.83,-0.2,-2.9283,0.8969,116183430,776913181.0,1.43202965065e+11,85883234534.4
2017-12-14,'603993,¬е—фов“µ,6.83,6.91,6.76,6.78,6.76,0.07,1.0355,0.8323,107807841,736272263.0,1.47522813182e+11,88473980674.2
2017-12-13,'603993,¬е—фов“µ,6.76,6.79,6.66,6.79,6.86,-0.1,-1.4577,0.9063,117393230,787441582.0,1.46010866341e+11,87567219525.2
2017-12-12,'603993,¬е—фов“µ,6.86,7.0,6.74,6.84,6.78,0.08,1.1799,1.3906,180140423,1242766717.0,1.48170790399e+11,88862592595.1
2017-12-11,'603993,¬е—фов“µ,6.78,6.84,6.63,6.68,6.6,0.18,2.7273,1.0244,132699349,894033283.0,1.46442851153e+11,87826294139.2
2017-12-08,'603993,¬е—фов“µ,6.6,6.64,6.39,6.4,6.38,0.22,3.4483,0.9569,123955016,811145167.0,1.42554987848e+11,85494622613.4
2017-12-07,'603993,¬е—фов“µ,6.38,6.59,6.35,6.5,6.59,-0.21,-3.1866,0.7855,101753781,657548672.0,1.3780315492e+11,82644801859.6
2017-12-06,'603993,¬е—фов“µ,6.59,6.65,6.3,6.5,6.61,-0.02,-0.3026,1.2381,160380492,1037847156.0,1.42338995442e+11,85365085306.4
2017-12-05,'603993,¬е—фов“µ,6.61,6.99,6.5,6.99,6.99,-0.38,-5.4363,1.3727,177814682,1201408062.0,1.42770980254e+11,85624159920.4
2017-12-04,'603993,¬е—фов“µ,6.99,7.27,6.95,7.17,7.1,-0.11,-1.5493,1.2645,163799007,1162165045.0,1.50978691675e+11,90546577586.0
2017-12-01,'603993,¬е—фов“µ,7.1,7.19,6.81,7.1,7.07,0.03,0.4243,1.4749,191057238,1337656892.0,1.53354608139e+11,91971487962.9
2017-11-30,'603993,¬е—фов“µ,7.07,7.35,7.0,7.07,7.01,0.06,0.8559,1.7465,226232077,1617164735.0,1.52706630922e+11,91582876041.9
2017-11-29,'603993,¬е—фов“µ,7.01,7.15,6.78,6.83,6.83,0.18,2.6354,2.2288,288718344,2027074780.0,1.51410676487e+11,90805652200.0
2017-11-28,'603993,¬е—фов“µ,6.83,6.88,6.42,6.48,6.55,0.28,4.2748,1.6228,210209852,1410490946.0,1.47522813182e+11,88473980674.2
2017-11-27,'603993,¬е—фов“µ,6.55,6.9,6.48,6.65,6.7,-0.15,-2.2388,1.8139,234962611,1578892297.0,1.41475025819e+11,84846936078.4
2017-11-24,'603993,¬е—фов“µ,6.7,6.84,6.13,6.28,6.27,0.43,6.8581,1.8329,237426919,1540702918.0,1.44714911906e+11,86789995683.3
2017-11-23,'603993,¬е—фов“µ,6.27,6.45,6.16,6.17,6.18,0.09,1.4563,1.4566,188677928,1197457854.0,1.35427238455e+11,81219891482.7
2017-11-22,'603993,¬е—фов“µ,6.18,6.23,6.1,6.11,6.11,0.07,1.1457,0.7144,92536802,570260284.0,1.33483306803e+11,80054055719.8
2017-11-21,'603993,¬е—фов“µ,6.11,6.24,6.07,6.24,6.22,-0.11,-1.7685,0.6764,87615346,537064072.0,1.31971359962e+11,79147294570.9
2017-11-20,'603993,¬е—фов“µ,6.22,6.24,5.8,6.01,6.04,0.18,2.9801,0.9211,119312262,727556575.0,1.34347276426e+11,80572204947.8
2017-11-17,'603993,¬е—фов“µ,6.04,6.27,6.0,6.16,6.16,-0.12,-1.9481,0.914,118401222,727706832.0,1.30459413121e+11,78240533422.0
2017-11-16,'603993,¬е—фов“µ,6.16,6.41,6.14,6.39,6.4,-0.24,-3.75,1.2395,160560008,1000956905.0,1.33051321991e+11,79794981105.8
2017-11-15,'603993,¬е—фов“µ,6.4,6.68,6.35,6.67,6.76,-0.36,-5.3254,1.4308,185347230,1200202952.0,1.38235139731e+11,82903876473.6
2017-11-14,'603993,¬е—фов“µ,6.76,6.88,6.7,6.78,6.71,0.05,0.7452,1.1925,154472221,1049569061.0,1.46010866341e+11,87567219525.2
2017-11-13,'603993,¬е—фов“µ,6.71,6.79,6.56,6.76,6.76,-0.05,-0.7396,1.1613,150434178,1002223804.0,1.44930904312e+11,86919532990.3
2017-11-10,'603993,¬е—фов“µ,6.76,6.88,6.75,6.88,6.88,-0.12,-1.7442,0.7633,98873224,671712457.0,1.46010866341e+11,87567219525.2
2017-11-09,'603993,¬е—фов“µ,6.88,7.04,6.81,6.94,6.92,-0.04,-0.578,0.698,90423469,625698963.0,1.48602775211e+11,89121667209.1
2017-11-08,'603993,¬е—фов“µ,6.92,7.04,6.75,6.85,6.9,0.02,0.2899,1.0728,138961853,962827844.0,1.49466744834e+11,89639816437.1
2017-11-07,'603993,¬е—фов“µ,6.9,7.0,6.75,6.85,6.89,0.01,0.1451,0.8301,107528451,739083423.0,1.49034760023e+11,89380741823.1
2017-11-06,'603993,¬е—фов“µ,6.89,6.96,6.71,6.9,6.9,-0.01,-0.1449,0.7802,101063649,689461994.0,1.48818767617e+11,89251204516.1
2017-11-03,'603993,¬е—фов“µ,6.9,7.06,6.78,6.9,7.01,-0.11,-1.5692,0.9128,118246942,816037094.0,1.49034760023e+11,89380741823.1
2017-11-02,'603993,¬е—фов“µ,7.01,7.27,6.97,7.23,7.25,-0.24,-3.3103,1.1248,145701548,1034308367.0,1.51410676487e+11,90805652200.0
2017-11-01,'603993,¬е—фов“µ,7.25,7.34,7.2,7.21,7.17,0.08,1.1158,1.4622,189403175,1377804535.0,1.56594494227e+11,93914547567.8
2017-10-31,'603993,¬е—фов“µ,7.17,7.22,6.81,6.83,6.86,0.31,4.519,1.2235,158483708,1121964594.0,1.5486655498e+11,92878249111.8
2017-10-30,'603993,¬е—фов“µ,6.86,7.1,6.71,7.1,7.27,-0.41,-5.6396,1.2447,161232141,1113727801.0,1.48170790399e+11,88862592595.1
2017-10-27,'603993,¬е—фов“µ,7.27,7.41,7.25,7.31,7.36,-0.09,-1.2228,0.7917,102550982,749421332.0,1.57026479038e+11,94173622181.7
2017-10-26,'603993,¬е—фов“µ,7.36,7.48,7.08,7.16,7.2,0.16,2.2222,1.5268,197777043,1448343231.0,1.58970410691e+11,95339457944.6
2017-10-25,'603993,¬е—фов“µ,7.2,7.25,7.06,7.11,7.22,-0.02,-0.277,0.7222,93548501,669391116.0,1.55514532198e+11,93266861032.8
2017-10-24,'603993,¬е—фов“µ,7.22,7.38,7.12,7.16,7.12,0.1,1.4045,1.0101,130842532,949949586.0,1.55946517009e+11,93525935646.8
2017-10-23,'603993,¬е—фов“µ,7.12,7.19,7.06,7.13,7.14,-0.02,-0.2801,0.6883,89165016,636314759.0,1.53786592951e+11,92230562576.9
2017-10-20,'603993,¬е—фов“µ,7.14,7.19,6.69,6.72,6.77,0.37,5.4653,1.3579,175901766,1241305757.0,1.54218577763e+11,92489637190.9
2017-10-19,'603993,¬е—фов“µ,6.77,6.92,6.55,6.7,6.74,0.03,0.4451,0.8584,111194990,751434199.0,1.46226858747e+11,87696756832.2
2017-10-18,'603993,¬е—фов“µ,6.74,7.12,6.7,7.05,7.07,-0.33,-4.6676,1.1156,144512652,992966503.0,1.45578881529e+11,87308144911.3
2017-10-17,'603993,¬е—фов“µ,7.07,7.23,7.06,7.17,7.23,-0.16,-2.213,0.6104,79069029,563272370.0,1.52706630922e+11,91582876041.9
2017-10-16,'603993,¬е—фов“µ,7.23,7.28,7.03,7.13,7.17,0.06,0.8368,0.99,128246517,918121726.0,1.56162509415e+11,93655472953.8
2017-10-13,'603993,¬е—фов“µ,7.17,7.29,7.05,7.17,7.14,0.03,0.4202,0.7572,98080166,703308555.0,1.5486655498e+11,92878249111.8
2017-10-12,'603993,¬е—фов“µ,7.14,7.23,7.0,7.2,7.28,-0.14,-1.9231,0.9871,127871772,909188715.0,1.54218577763e+11,92489637190.9
2017-10-11,'603993,¬е—фов“µ,7.28,7.47,6.95,7.46,7.54,-0.26,-3.4483,1.5687,203202998,1470106006.0,1.57242471444e+11,94303159488.7
2017-10-10,'603993,¬е—фов“µ,7.54,7.81,7.43,7.81,7.81,-0.27,-3.4571,1.3455,174295226,1313909850.0,1.62858273996e+11,97671129470.5
2017-10-09,'603993,¬е—фов“µ,7.81,8.09,7.76,8.03,7.84,-0.03,-0.3827,1.237,160234745,1259483931.0,1.68690068953e+11,1.01168636759e+11
2017-09-29,'603993,¬е—фов“µ,7.84,7.9,7.69,7.84,7.76,0.08,1.0309,1.0803,139941692,1090190450.0,1.69338046171e+11,1.0155724868e+11
2017-09-28,'603993,¬е—фов“µ,7.76,7.95,7.71,7.78,7.77,-0.01,-0.1287,1.0984,142285010,1114919290.0,1.67610106924e+11,1.00520950224e+11
2017-09-27,'603993,¬е—фов“µ,7.77,7.86,7.45,7.5,7.51,0.26,3.4621,1.4225,184271860,1426451440.0,1.6782609933e+11,1.00650487531e+11
2017-09-26,'603993,¬е—фов“µ,7.51,7.6,7.39,7.4,7.39,0.12,1.6238,0.8793,113898712,853117375.0,1.62210296778e+11,97282517549.5
